id,datetime,side,price,size,buy_child_order_acceptance_id,sell_child_order_acceptance_id
400153238,2018:09:02:06:51:27:793,BUY,808750,0.277,JRF20180902-065127-361622,JRF20180902-064504-451318
400153239,2018:09:02:06:51:27:793,BUY,808750,0.05,JRF20180902-065127-361622,JRF20180902-064932-697166
400153240,2018:09:02:06:51:27:793,BUY,808750,0.1,JRF20180902-065127-361622,JRF20180902-065043-200460
400153241,2018:09:02:06:51:27:793,BUY,808753,0.01,JRF20180902-065127-361622,JRF20180902-065126-092680
400153242,2018:09:02:06:51:27:793,BUY,808755,0.048,JRF20180902-065127-361622,JRF20180902-064823-053153
400153243,2018:09:02:06:51:27:793,BUY,808756,0.0263167,JRF20180902-065127-361622,JRF20180902-065113-361569
400153244,2018:09:02:06:51:27:887,BUY,808745,0.01,JRF20180902-065126-083673,JRF20180902-065107-088347
400153245,2018:09:02:06:51:27:887,BUY,808756,0.0036833,JRF20180902-065126-083673,JRF20180902-065113-361569
400153246,2018:09:02:06:51:27:887,BUY,808759,0.05,JRF20180902-065126-083673,JRF20180902-065030-081743
400153247,2018:09:02:06:51:27:887,BUY,808760,0.01,JRF20180902-065126-083673,JRF20180902-065111-227742
400153248,2018:09:02:06:51:27:887,BUY,808762,0.01,JRF20180902-065126-083673,JRF20180902-065125-453303
400153249,2018:09:02:06:51:27:887,BUY,808764,0.038,JRF20180902-065126-083673,JRF20180902-065105-087688
400153250,2018:09:02:06:51:27:887,BUY,808768,0.01,JRF20180902-065126-083673,JRF20180902-065112-453237
400153251,2018:09:02:06:51:27:887,BUY,808768,0.2,JRF20180902-065126-083673,JRF20180902-065121-016732
400153252,2018:09:02:06:51:27:887,BUY,808770,0.01,JRF20180902-065126-083673,JRF20180902-065119-788277
400153253,2018:09:02:06:51:27:887,BUY,808770,0.00203306,JRF20180902-065126-083673,JRF20180902-065123-394762
400153254,2018:09:02:06:51:27:965,SELL,808705,0.08,JRF20180902-065126-394773,JRF20180902-065127-083674
400153255,2018:09:02:06:51:27:965,SELL,808700,0.12,JRF20180902-065124-200682,JRF20180902-065127-083674
400153256,2018:09:02:06:51:27:996,BUY,808724,0.01,JRF20180902-065107-088398,JRF20180902-065127-540971
400153257,2018:09:02:06:51:28:105,BUY,808742,0.01,JRF20180902-065127-016785,JRF20180902-065127-872643
400153258,2018:09:02:06:51:28:105,BUY,808770,0.00796694,JRF20180902-065127-016785,JRF20180902-065123-394762
400153259,2018:09:02:06:51:28:105,BUY,808770,0.01,JRF20180902-065127-016785,JRF20180902-065124-773894
400153260,2018:09:02:06:51:28:105,BUY,808771,0.012,JRF20180902-065127-016785,JRF20180902-065024-080885
400153261,2018:09:02:06:51:28:105,BUY,808771,0.06003306,JRF20180902-065127-016785,JRF20180902-065119-515229
400153262,2018:09:02:06:51:28:121,SELL,808706,0.01,JRF20180902-065117-090641,JRF20180902-065127-453321
400153263,2018:09:02:06:51:28:121,SELL,808701,0.01,JRF20180902-065127-200704,JRF20180902-065127-453321
400153264,2018:09:02:06:51:28:121,SELL,808700,0.03,JRF20180902-065124-200682,JRF20180902-065127-453321
400153265,2018:09:02:06:51:28:152,BUY,808771,0.01,JRF20180902-065127-361623,JRF20180902-065119-515229
400153266,2018:09:02:06:51:28:246,BUY,808771,0.00996694,JRF20180902-065128-453324,JRF20180902-065119-515229
400153267,2018:09:02:06:51:28:246,BUY,808771,0.01,JRF20180902-065128-453324,JRF20180902-065122-091107
400153268,2018:09:02:06:51:28:246,BUY,808777,0.08003306,JRF20180902-065128-453324,JRF20180902-063642-146264
400153269,2018:09:02:06:51:28:277,BUY,808777,0.01996694,JRF20180902-065127-912485,JRF20180902-063642-146264
400153270,2018:09:02:06:51:28:277,BUY,808777,0.011,JRF20180902-065127-912485,JRF20180902-065058-086715
400153271,2018:09:02:06:51:28:277,BUY,808779,0.01,JRF20180902-065127-912485,JRF20180902-063435-039422
400153272,2018:09:02:06:51:28:277,BUY,808779,0.01903306,JRF20180902-065127-912485,JRF20180902-065101-406802
400153273,2018:09:02:06:51:28:324,SELL,808746,0.01,JRF20180902-065128-773903,JRF20180902-065128-966940
400153274,2018:09:02:06:51:28:340,BUY,808710,0.1,JRF20180902-065128-453326,JRF20180902-065128-966940
400153275,2018:09:02:06:51:28:465,BUY,808710,0.08,JRF20180902-065128-697551,JRF20180902-065128-966940
400153276,2018:09:02:06:51:28:527,BUY,808710,0.01,JRF20180902-065127-044070,JRF20180902-065128-966940
400153277,2018:09:02:06:51:28:574,BUY,808710,0.02,JRF20180902-065127-406939,JRF20180902-065128-966940
400153278,2018:09:02:06:51:28:621,BUY,808710,0.01,JRF20180902-065128-540972,JRF20180902-065128-966940
400153279,2018:09:02:06:51:28:699,SELL,808709,0.05,JRF20180902-065128-016788,JRF20180902-065128-361627
400153280,2018:09:02:06:51:28:699,SELL,808709,0.0244482,JRF20180902-065128-800593,JRF20180902-065128-361627
400153281,2018:09:02:06:51:28:730,BUY,808710,0.08,JRF20180902-065128-200708,JRF20180902-065128-966940
400153282,2018:09:02:06:51:28:793,BUY,808710,0.038,JRF20180902-065105-087696,JRF20180902-065128-966940
400153283,2018:09:02:06:51:28:808,BUY,808710,0.02,JRF20180902-065108-089201,JRF20180902-065128-966940
